#fraction  weak_link_removal_lcc susceptibility strong_link_removal_lcc susceptibility
0.566875 0.0881 108.608 0.9554 0.0634 4.69871
0.567031 0.088 108.514 0.9554 0.0634 4.69702
0.567109 0.088 108.514 0.9554 0.0634 4.69617
0.567188 0.0546 115.076 0.9553 0.0635 4.69532
0.5675 0.0546 114.884 0.9551 0.0637 4.69193
0.57 0.0545 114.511 0.9547 0.0643 4.66481
0.58 0.0528 76.679 0.9513 0.0693 4.55633
0.6 0.0328 69.3274 0.9436 0.0778 4.33936
0.62 0.028 56.443 0.9351 0.0893 4.12239
0.64 0.0277 49.3673 0.9259 0.0959 3.90542
0.66 0.0272 41.352 0.9138 0.112 3.68846
0.68 0.02 31.3622 0.9018 0.1284 3.47149
0.7 0.0144 26.8748 0.8833 0.1723 3.25452
0.72 0.0124 23.8542 0.8656 0.1906 3.03755
0.74 0.012 21.2056 0.8464 0.2164 2.82058
0.75 0.0118 19.714 0.8361 0.2281 2.7121
0.76 0.0108 18.5216 0.8249 0.2437 2.60362
0.77 0.0107 16.8063 0.812 0.27 2.49513
0.78 0.0106 15.2926 0.7947 0.3129 2.38665
0.785 0.0104 14.6786 0.7846 0.3296 2.33241
0.79 0.0104 14.2044 0.7746 0.3478 2.27816
0.8 0.0102 13.1404 0.7573 0.3725 2.16968
0.805 0.0098 12.6312 0.7464 0.3924 2.11544
0.81 0.0097 12.0535 0.7367 0.4069 2.0612
0.815 0.0094 11.2292 0.7228 0.4478 2.00695
0.82 0.0094 10.6852 0.7088 0.4794 1.95271
0.825 0.0093 10.2375 0.6962 0.5024 1.89847
0.83 0.0091 9.8501 0.6828 0.547 1.84423
0.835 0.0062 9.3674 0.6673 0.5707 1.78999
0.84 0.0059 8.9911 0.6542 0.5898 1.73574
0.845 0.0059 8.6217 0.6357 0.6343 1.6815
0.85 0.0055 8.1781 0.6159 0.6947 1.62726
0.855 0.0055 7.7335 0.596 0.7768 1.57302
0.8575 0.0055 7.4569 0.5835 0.8635 1.5459
0.86 0.0055 7.3195 0.5725 0.8821 1.51878
0.8625 0.0055 7.1769 0.5611 0.9297 1.49165
0.865 0.0053 6.9241 0.5483 0.9773 1.46453
0.8675 0.0053 6.8179 0.5352 1.0434 1.43741
0.87 0.0053 6.6413 0.52 1.107 1.41029
0.8725 0.0053 6.4519 0.5034 1.1594 1.38317
0.875 0.0052 6.26 0.4909 1.2045 1.35605
0.8775 0.0052 6.124 0.4783 1.2509 1.32893
0.88 0.0051 5.9071 0.4626 1.3906 1.30181
0.8825 0.0051 5.6833 0.4475 1.4985 1.27469
0.885 0.0051 5.5271 0.4359 1.4911 1.24757
0.88625 0.0042 5.4786 0.429 1.4778 1.23401
0.8875 0.0041 5.3627 0.4125 1.8603 1.22044
0.89 0.0035 5.1421 0.3989 1.7059 1.19332
0.89125 0.0035 5.0513 0.3857 1.9247 1.17976
0.8925 0.0035 4.9969 0.3777 1.9075 1.1662
0.895 0.0035 4.8767 0.3623 1.9689 1.13908
0.8975 0.0034 4.736 0.3463 2.0759 1.11196
0.898125 0.0034 4.7046 0.3299 2.7305 1.10518
0.89875 0.0034 4.6656 0.3211 2.9085 1.0984
0.9 0.0033 4.5671 0.3057 3.1073 1.08484
0.90125 0.0033 4.4749 0.2926 3.2208 1.07128
0.9025 0.0032 4.4004 0.2835 3.1801 1.05772
0.90375 0.0032 4.2946 0.2644 3.4578 1.04416
0.905 0.0031 4.2299 0.2588 3.2806 1.0306
0.90625 0.0031 4.1623 0.2475 3.4245 1.01704
0.9075 0.0031 4.0799 0.2359 3.5495 1.00348
0.90875 0.003 4.0214 0.2196 3.7348 0.989916
0.91 0.003 3.9586 0.2085 3.9157 0.976356
